town_id,impressions,clicks
1,2544,224
2,4365,104
3,3582,381
4,585,58
5,2973,255
6,1485,57
7,4972,52
8,2826,198
9,3825,86
10,4966,89
11,4478,58
12,125,2
13,4152,161
14,823,24
15,3517,144
16,4453,120
17,4886,186
18,233,12
19,2161,137
20,3256,475
21,4737,144
22,4964,271
23,2863,105
24,1783,49
25,3384,130
26,4341,159
27,339,13
28,2567,59
29,1602,36
30,4228,61
31,2579,168
32,2582,24
33,1840,93
34,3810,157
35,735,40
36,1726,6
37,4910,43
38,4348,44
39,1614,99
40,3987,222
41,3641,191
42,1823,86
43,2586,96
44,2164,103
45,3746,191
46,2168,99
47,4459,122
48,2271,101
49,4023,617
50,3795,525
