Bugs_Reported,Commits,Active_Devs
11,12,13
4,6,10
15,11,8
6,14,10
11,7,12
6,8,6
8,9,11
7,11,5
17,8,14
14,10,10
4,7,5
9,11,7
20,11,10
6,8,6
5,12,5
8,6,14
13,7,13
9,8,10
2,10,4
6,5,11
1,3,6
3,9,5
8,13,6
7,8,8
15,6,14
16,13,11
24,12,13
13,13,10
10,9,10
13,14,10
14,8,11
5,8,4
7,12,7
12,15,9
16,13,12
5,13,5
6,10,4
17,8,13
7,15,5
9,9,10
4,7,6
12,8,13
11,13,5
24,15,14
10,8,10
5,7,5
2,9,6
12,6,14
13,16,10
10,10,7
11,18,4
5,10,8
9,8,12
12,11,11
11,3,12
23,15,13
7,6,12
12,7,10
8,9,7
8,11,8
8,8,4
8,12,4
9,10,6
13,11,11
5,12,5
21,16,7
5,8,5
5,7,8
19,13,12
2,10,4
9,15,8
6,8,12
3,11,4
14,11,12
7,5,11
6,10,7
19,11,14
16,12,13
6,8,8
9,11,8
15,11,14
9,5,9
11,8,10
16,13,11
6,11,11
14,7,14
5,8,5
16,11,12
26,15,10
7,8,7
10,14,7
12,6,14
20,16,11
9,11,7
11,6,9
13,14,8
6,12,6
16,9,13
15,10,14
11,13,5
12,15,12
16,9,13
14,11,12
5,10,4
14,8,13
4,1,6
9,13,11
10,6,9
12,13,8
9,11,8
7,10,9
9,10,10
11,13,4
12,9,12
3,9,6
3,6,7
11,10,13
7,12,4
30,17,14
13,10,13
7,9,6
3,9,5
4,3,5
3,10,4
7,10,11
3,6,6
6,9,6
11,11,9
7,9,11
16,10,12
13,11,12
16,16,7
5,9,8
8,10,5
24,16,14
6,7,12
10,5,11
4,5,6
13,4,14
24,14,12
9,13,6
12,8,12
11,12,5
17,9,13
12,14,12
14,12,11
16,10,12
9,9,8
25,15,14
18,17,14
8,11,5
9,8,11
7,5,9
8,9,11
14,8,14
8,6,8
28,11,13
2,5,5
16,12,9
8,9,8
7,9,8
4,13,4
6,9,5
5,5,11
4,3,6
20,12,13
8,18,6
17,8,11
12,11,11
8,9,5
4,3,11
13,10,14
3,8,4
2,10,9
9,11,11
8,12,6
10,8,11
9,12,4
18,11,14
6,3,14
10,9,12
15,11,14
9,14,12
6,9,8
20,14,13
5,9,7
23,17,14
4,7,9
13,11,10
14,10,8
13,10,14
16,10,13
15,14,12
4,6,6
14,13,10
8,12,13
10,6,13
11,8,14
3,9,8
18,15,10
9,10,5
8,9,7
5,10,5
13,10,10
4,11,5
12,4,14
7,6,4
13,6,12
4,7,4
16,15,11
7,12,5
6,7,11
4,6,6
10,6,9
3,6,6
5,7,10
22,10,13
11,11,12
3,4,5
4,7,8
12,9,9
11,11,7
6,10,7
4,10,7
2,5,5
3,10,7
10,8,14
2,7,4
9,6,9
5,11,4
12,13,13
9,5,9
6,11,4
10,9,9
13,8,13
10,11,11
18,11,14
4,5,5
3,7,5
4,7,7
6,5,14
7,13,6
5,6,7
10,16,10
20,11,14
2,13,4
9,8,9
3,10,6
12,8,14
11,6,13
12,10,10
11,8,13
3,8,5
5,7,5
8,13,7
3,10,4
12,6,6
19,16,12
11,6,10
9,7,10
25,12,14
7,9,7
7,9,5
11,9,7
7,10,9
23,12,14
22,9,14
15,15,6
4,11,4
12,6,11
4,11,8
4,6,8
10,7,14
1,8,7
11,6,9
11,13,6
9,7,12
16,12,8
12,12,6
16,7,14
8,7,4
15,11,13
7,6,9
10,10,5
13,16,6
7,12,4
11,11,12
12,9,11
6,9,5
10,6,14
9,14,11
11,11,12
2,3,4
6,13,8
9,8,11
14,8,14
5,12,5
2,7,7
10,6,10
9,10,6
13,15,8
11,11,11
5,6,13
7,10,6
6,7,7
18,11,12
9,13,10
4,10,4
11,9,7
5,6,7
9,9,12
13,11,9
14,12,12
5,7,9
14,13,9
5,11,8
6,5,8
11,14,5
18,12,11
13,8,11
14,7,14
2,7,4
12,9,11
10,13,8
1,7,5
4,11,5
7,11,9
24,10,14
16,13,12
10,14,4
6,9,9
15,8,12
12,11,11
5,6,14
4,5,9
9,8,6
12,11,11
9,7,12
8,14,4
11,11,12
6,9,9
7,10,9
8,5,7
6,7,4
12,8,13
18,12,11
6,11,5
6,12,4
10,11,5
5,10,4
5,8,4
5,5,12
5,12,4
10,12,7
20,13,13
5,8,9
7,9,10
15,15,5
12,17,9
11,7,10
18,14,13
19,13,13
6,7,5
9,16,5
14,7,13
