tenure,attrition,age,salary_level,performance_score
46,1,36,Medium,2.82
3,1,51,Medium,4.38
29,1,41,Medium,1.09
35,1,23,Medium,1.15
39,0,27,Medium,1.16
18,1,39,Low,3.96
20,1,57,Low,3.93
43,1,35,Low,3.65
58,1,47,Medium,4.71
23,0,55,Medium,4.35
34,0,51,Low,3.92
33,1,28,Medium,3.39
50,1,51,Medium,3.61
48,1,39,Medium,3.84
10,1,43,Low,3.61
33,1,38,Medium,2.93
47,0,52,Medium,2.76
33,0,38,High,4.12
48,1,52,Low,1.01
26,1,34,Low,1.43
20,1,48,Medium,3.19
15,0,41,Medium,2.91
37,1,38,Low,1.5
33,0,50,Medium,4.76
17,0,56,High,4.1
5,0,29,Medium,2.41
50,1,36,Medium,4.05
56,1,22,Medium,3.63
4,1,54,Medium,3.25
3,0,24,Medium,3.39
21,1,36,Medium,1.7
40,0,39,High,4.37
3,0,52,Low,4.68
21,1,41,Medium,1.66
48,1,28,Medium,4.02
57,1,48,High,4.91
49,0,29,Medium,4.95
8,1,35,Medium,4.15
42,1,36,Medium,2.72
36,0,28,High,1.5
29,0,54,Low,1.97
53,0,55,Medium,1.49
39,1,25,High,4.53
34,0,22,High,3.22
22,1,35,Low,3.21
55,1,52,Medium,2.52
31,0,41,Medium,1.12
28,0,24,Medium,3.67
35,1,56,Low,1.64
34,1,54,Medium,3.07
13,1,36,Medium,3.21
41,1,24,Low,3.76
4,1,49,Medium,2.11
43,0,48,Low,2.69
6,1,54,Low,3.25
1,1,40,Medium,2.41
12,1,54,High,2.45
35,0,52,High,1.64
59,1,25,Medium,1.88
11,1,53,High,2.43
23,0,49,Medium,1.42
14,0,37,Low,4.57
19,0,49,Low,2.75
37,1,36,Medium,4.01
16,1,43,Medium,2.85
44,0,52,Low,1.98
28,0,42,Medium,2.7
45,1,53,High,4.69
31,0,28,High,4.99
53,0,54,Medium,3.4
7,0,29,Medium,3.57
46,1,35,Medium,4.47
52,0,46,Low,4.68
27,1,53,Low,2.6
17,1,49,Medium,2.11
7,1,23,Low,3.87
15,0,38,High,3.58
53,1,48,Medium,2.98
40,1,23,Medium,4.31
12,1,29,Medium,4.52
55,0,41,High,3.83
8,0,42,Medium,2.13
2,0,47,Low,3.46
44,0,52,Medium,2.78
59,1,41,Low,4.96
38,0,27,Medium,3.89
56,1,36,Low,4.43
26,1,22,High,2.85
51,1,47,Low,1.47
21,1,50,Medium,1.9
57,0,23,Medium,4.12
50,1,43,Medium,4.17
13,1,50,High,3.28
19,1,30,High,2.41
18,1,42,Medium,3.23
2,1,53,Medium,1.66
52,1,53,Medium,3.84
45,0,47,Medium,1.76
54,0,34,Low,2.23
42,1,24,Low,2.36
49,0,53,High,1.02
57,0,54,Medium,2.69
28,1,54,Low,4.32
50,0,34,Medium,1.7
23,1,27,High,2.56
4,1,25,Low,4.19
4,1,27,Medium,3.13
12,1,24,Medium,2.73
22,1,48,Low,2.84
26,1,41,Medium,4.42
40,0,39,Low,1.3
42,1,41,Low,2.81
35,1,51,Medium,3.98
4,1,31,Medium,3.5
12,0,44,Low,1.35
4,0,24,Medium,3.97
52,0,30,Medium,3.11
57,1,40,Medium,3.38
31,1,57,Low,3.26
7,0,48,Low,4.57
10,1,49,Medium,2.01
24,0,29,Medium,2.3
15,0,29,High,3.68
39,1,39,High,4.18
20,0,42,Medium,1.54
58,1,34,Medium,2.48
7,1,48,High,3.7
13,0,37,High,3.52
55,0,30,Medium,3.66
28,0,48,Medium,1.85
39,0,38,High,4.77
18,1,24,High,4.44
47,1,25,Medium,3.81
11,1,22,Medium,2.81
36,1,35,Medium,3.15
53,1,29,Medium,3.25
36,0,28,Medium,1.94
2,1,51,Low,3.2
48,0,46,Medium,4.34
46,1,37,Low,3.89
17,1,32,Medium,1.54
6,1,46,High,2.5
41,0,54,Low,2.04
46,0,42,Medium,2.34
23,1,31,Medium,4.21
47,0,30,High,4.86
16,0,22,Medium,1.22
41,1,55,Medium,2.84
26,0,52,High,2.07
46,0,42,High,3.16
50,0,45,High,4.01
1,0,40,High,4.7
36,0,42,Medium,2.28
30,1,46,Low,4.52
2,1,41,Medium,1.68
20,0,47,Low,3.24
5,1,28,Low,2.58
31,0,24,Low,4.37
8,0,29,Low,4.86
30,0,51,Medium,1.17
39,1,32,High,1.06
2,1,29,High,2.78
53,0,38,High,2.37
13,1,29,Medium,3.71
4,0,51,High,3.53
45,1,37,Low,4.35
52,0,25,Medium,1.78
8,1,42,Low,2.35
39,1,55,Medium,3.06
25,0,56,Medium,1.59
7,0,34,High,2.09
14,0,48,Medium,2.4
29,1,29,Medium,4.2
45,0,50,High,1.93
21,1,37,Medium,3.45
37,1,26,Medium,4.36
56,0,31,High,4.47
49,0,36,Low,3.34
33,1,42,High,1.32
58,0,55,High,4.96
41,0,43,Medium,3.7
25,1,43,Medium,3.58
53,1,30,Low,2.51
59,0,47,High,3.08
59,0,34,Low,4.16
46,1,39,Medium,1.15
14,1,22,Low,3.11
9,0,44,Medium,1.11
15,1,54,High,2.77
7,0,52,High,4.98
2,1,42,High,2.36
31,1,44,Medium,4.3
7,1,37,High,1.61
41,0,48,Medium,4.87
56,1,35,Medium,3.27
11,1,28,Medium,2.28
13,1,33,Low,1.67
13,1,49,Medium,1.4
26,1,24,Low,4.19
43,0,43,High,1.23
