Fish_Caught,Hours_Fished,Used_Live_Bait,Is_Park_Member
10,3.3090508913552186,1,0
4,7.6303572980743715,0,1
7,5.989954563585538,0,1
2,4.9899386314777745,0,0
0,1.670139803318274,0,0
2,1.6699589025215198,0,0
3,0.9356270912614959,1,1
12,6.996321093312014,0,1
18,5.008362588074066,1,1
1,5.810544333470341,1,1
0,0.6543837072185184,0,0
1,7.774323891214958,0,0
27,6.743319806003163,1,0
1,2.092543330087071,0,0
2,1.8636872540532545,0,1
6,1.8755338239007537,1,1
1,2.781816822196533,1,0
3,4.435673237241784,0,0
28,3.739587639815868,1,1
0,2.6842185514853143,0,0
18,5.088896710417846,0,1
4,1.5462039548903137,0,0
3,2.6910848640141363,1,0
2,3.2477138247026875,1,0
6,3.9205248816277694,1,0
42,6.388819710447602,1,0
3,1.997553366187698,1,0
1,4.356758288102087,0,0
2,4.943109266465319,0,1
1,0.8483780953999829,0,1
2,5.056586389260787,0,1
7,1.7789309276546865,1,1
1,0.9878869473895964,0,1
67,7.616641529399999,1,0
0,7.742240248059195,0,0
41,6.5629801108734585,1,1
1,2.78460326880028,1,0
0,1.232540855047879,0,1
5,5.631747698841177,0,1
4,3.8011437030470097,0,0
0,1.415286761335841,0,0
4,4.213826825834526,1,0
3,0.757913908364138,0,1
10,7.3199030155908655,0,0
11,2.440849862000127,1,1
3,5.468917132654865,0,1
0,2.837833070670582,0,1
1,4.4005101588335815,0,0
1,4.600327095074597,0,0
2,1.8864084164414527,0,1
6,7.7718847082341895,1,0
5,6.313496175208359,0,0
9,7.5462420617314185,0,0
8,7.211205128207366,0,1
3,4.984249841083138,0,1
8,7.414056762673376,0,0
5,1.1636937653893962,1,1
0,1.969871468143589,0,0
5,0.8392046668290355,1,0
17,2.9399774807244827,1,0
3,3.4150796726711152,0,0
6,2.535117738304219,0,1
0,6.71553131863947,0,1
3,3.1756499502019198,0,1
2,2.607008822655356,1,0
4,4.570220623686864,0,0
1,1.55693168731072,0,0
19,6.516477355655297,0,1
1,1.0591298275982812,0,0
19,7.90165202450388,0,1
9,6.291835769724931,0,1
6,1.9903676115062932,1,1
4,0.541415878427018,1,1
11,6.615960713411257,0,1
10,5.801430078857129,0,1
4,5.967553760307405,0,0
44,6.284527600144593,1,0
1,1.0553348880056777,0,1
9,3.1884929640820445,1,1
2,1.3690179464384729,0,0
3,6.973275694066952,0,1
12,5.174735951206684,0,1
0,2.981735186394869,0,0
0,0.9766876271451772,1,1
27,2.8323674128674665,1,1
2,2.9388749152006026,0,1
2,5.97204633753548,0,0
3,5.281681035164098,1,0
63,7.154095569322449,1,0
17,4.04161193871462,1,1
0,1.3969568445372627,1,1
4,5.849335904172462,0,0
17,6.205887864626731,1,1
3,4.709578981771222,0,1
38,6.282253849659208,1,1
36,4.20346697273293,1,1
14,4.420496220364956,1,1
9,3.706557637689122,1,0
1,0.690643450580714,1,1
1,1.3091857024497835,0,0
1,0.7357188926505069,0,1
13,5.273078084478353,1,0
4,2.85766985807245,1,1
3,4.314280183735271,0,0
12,7.306748554445698,1,1
3,2.3696917186165622,1,0
7,3.577871922767223,0,1
94,6.1666335390728655,1,0
1,2.2159862411871685,1,1
0,1.0773493237159475,0,0
1,2.6731358968532604,0,0
6,1.7091596544050331,0,1
45,7.472732392569298,1,1
6,6.560902846733127,0,0
5,5.250528173828176,0,1
7,7.035954426407883,0,0
8,6.527540576743358,0,0
0,1.8992754416452688,0,0
16,7.194192488674833,0,1
10,4.54506681436738,1,0
33,6.555801163730469,1,0
2,7.2206847494262,0,1
1,2.885026062288979,0,1
0,1.3253894339575756,0,1
6,2.209513719064563,1,1
10,3.7033084146969224,1,0
94,6.635110744418698,1,0
48,6.955479374422576,1,0
2,0.5521409789839302,1,0
5,4.330604769331742,1,1
8,3.6305825236158427,1,0
4,2.165808578530477,1,0
0,1.398990255002621,1,1
3,3.03211378552721,0,0
15,7.5718227793438935,0,0
0,2.9240219901556643,0,0
3,4.390929663075246,0,0
4,5.7726421917138335,1,0
2,3.2272220178447046,1,0
29,7.788365620407205,0,1
37,7.7183547120658345,1,1
2,2.388367218690231,0,0
29,4.22936379419289,1,0
8,2.7565873236257725,0,1
8,2.636303707831007,1,0
3,0.776652105158996,1,0
1,5.071732504849226,0,0
20,4.270092674216461,1,1
1,0.8860906343749202,0,0
0,2.589848481774586,0,1
15,7.311994144749903,0,0
0,2.296714180002293,0,1
5,1.5867115406841732,1,1
6,4.170895702081722,1,0
34,7.892378405829505,1,1
3,2.3154145363362533,0,0
87,5.5410166055440895,1,1
1,6.212147114965382,0,0
0,2.2822815799429974,1,0
77,5.961622614588947,1,1
8,3.258373495394399,1,0
4,5.242293729451846,0,0
11,5.25147283070671,1,1
8,4.518310130560689,1,0
0,1.1771732754080624,0,0
92,6.764768716919285,1,1
2,2.905850487288019,0,1
7,1.8988888279989067,1,0
1,0.8058135616607294,0,0
16,4.931697073911813,0,1
36,5.581732713817118,1,1
0,0.6244087169589212,0,0
4,4.340697937244608,0,1
0,2.1987183139845348,0,0
2,5.338795928070874,0,0
1,1.8077482175374358,0,0
1,5.6820330357684945,0,0
5,3.4005150972540306,1,0
7,7.525474915525509,0,1
0,1.5314070810949494,0,1
5,3.0579976328769387,1,1
5,1.351051409304418,1,1
21,7.435202137089221,1,0
24,7.080045150357358,1,0
1,2.4345622078636673,1,0
21,5.449880345256343,1,0
23,6.629166501509118,1,1
3,4.664006086995967,0,0
4,4.4723793376700485,0,0
23,2.3138921817533875,1,1
2,1.198270758544244,0,1
13,7.229118184649951,0,1
17,7.2531354287249785,0,1
9,5.2482609295495095,1,0
6,3.0427234328652553,1,0
6,3.119071809594957,0,1
18,5.9446675915267955,1,0
13,7.2283269496443285,0,0
5,7.15314818198838,0,0
10,6.349066593932179,0,1
5,5.315237346157158,0,0
6,1.1310497374628663,1,1
5,1.7122153557096031,1,0
39,7.239156413953094,1,0
0,5.048217947446925,0,0
3,0.5689778871247224,1,1
0,1.2610365714952407,0,0
25,5.476263268310419,1,1
0,0.5379618788466402,0,1
2,1.70606038563124,0,1
2,4.615503420249396,0,0
45,5.6892139826951995,1,0
20,5.389709446269504,1,0
21,2.1820198209541983,1,0
119,5.841344160106519,1,1
0,2.2793681562260004,0,1
9,2.9404977361945077,1,1
8,6.0986855383851815,1,0
2,5.37224674285411,0,1
6,6.869175578706335,0,0
5,5.432096692252575,0,1
13,4.762314525016037,1,0
1,1.2025607587106935,0,0
2,3.2578685229457514,0,1
0,2.489017757612941,0,1
8,2.329922325343127,1,1
15,7.797579160643342,0,1
1,3.448232935000703,1,0
102,7.190349163828349,1,1
4,5.233539694979472,0,1
1,6.461084776562363,0,1
8,4.269778198288941,1,0
10,4.826779134697693,0,0
1,4.19388270364148,0,1
2,1.9643224084853337,1,0
22,5.91839086446129,1,1
2,2.6057927183064185,0,0
2,0.6823697482359038,1,0
1,5.341042219303759,0,0
0,1.8283300955528672,0,0
0,7.553439382646857,0,1
45,7.654464327519405,1,1
27,7.361482926653364,0,1
1,3.276190251915833,0,0
3,0.6159246239665057,0,1
205,7.462389219407941,1,1
0,3.7113811123798577,1,1
66,7.749911142827521,1,0
48,7.727149828169396,1,0
50,6.897570916005201,1,0
2,2.708366690521893,0,1
32,3.3882329645144393,1,1
73,6.883525036376427,1,1
5,2.8769150386720823,1,0
3,1.7711956001456937,0,0
19,4.676009468437626,1,1
37,7.521160806205858,1,0
9,5.720223475062298,0,0
3,4.775458775670237,1,0
0,1.228823703280764,0,0
11,5.112554200243773,0,1
1,7.925403875781974,0,0
1,1.5506301142739303,0,0
0,4.387472392728025,0,0
50,7.080298039459666,1,0
2,6.055764633156533,0,1
4,5.72761805746451,0,1
19,5.76863062990332,1,0
2,3.1961836341481638,0,0
5,2.7019388319837003,1,0
31,6.570208666088853,1,0
2,6.575850460093855,1,0
0,7.003042389350778,0,0
3,7.3493041441735345,0,1
2,4.335067991457033,0,0
7,4.261372210153997,1,1
4,6.487213842250814,0,1
7,5.374729480833238,0,0
4,5.764751579432775,0,1
24,6.468445020770758,1,1
13,7.175040063631747,1,1
5,3.0349636763865186,0,1
3,3.31687214479958,0,1
0,1.2048645488065175,0,1
3,4.837101057471305,0,0
0,0.7695670534755656,1,1
4,3.9919851359934513,1,1
31,4.569834760306825,1,1
4,2.649059390962133,1,0
5,4.931249454267581,0,1
0,0.7287518745428707,0,0
1,0.7801114156191081,0,1
6,6.669504204947437,1,0
1,3.2014298105844716,0,0
3,1.452953844889136,1,1
23,4.416824450411033,1,1
2,6.274951648239581,0,0
2,2.118657706226324,0,1
2,5.171678568642502,0,0
1,1.14010598745326,1,0
0,0.8876129087645577,0,0
8,4.48515973676111,1,0
1,4.554763412075799,0,0
61,5.280724261236549,1,1
10,5.945685002919961,1,0
20,7.81889059596901,0,0
18,4.372252612258965,1,1
6,2.922173547059345,1,0
16,6.463896460765278,0,1
4,2.5312418844655564,1,1
9,3.792285655292271,0,1
1,1.0884228600669947,1,0
1,0.6901305756159313,0,0
21,7.719863110084438,0,0
23,6.769850903841544,1,1
21,5.719806545702735,1,0
14,3.567147083107024,1,1
4,1.7997074005313434,1,0
9,1.6732778200331453,1,1
1,2.376821736234465,0,0
5,4.619199985295904,1,0
7,5.859469420250467,0,0
5,5.451480325382985,0,1
9,2.599504227094571,1,1
7,7.661489604973956,0,0
5,6.0342268752182635,0,0
10,4.657655393835505,0,1
6,5.087905596757642,0,1
