Claim_Amount,Driver_Age,Vehicle_Age,Vehicle_Value
4752.355751607473,56,10,65316.05348415249
7455.467256413703,69,20,10090.884286515127
12125.179636676568,46,24,49832.37944865238
1837.4190559596755,32,21,15677.843165595394
13034.076706636739,60,16,62069.68789561346
16455.401042037854,25,12,67408.1243083888
1875.685227118534,78,0,34186.490587588894
3815.4967458147476,38,1,61897.78917528482
2716.0931965611526,56,8,3344.7264405658893
1899.8769694786656,75,2,57936.44346634271
2223.640132998578,36,0,18317.885822169876
7339.501135270924,40,20,63882.98772104765
2110.580891612931,28,15,3075.0474691673357
7395.253349374656,28,22,40264.176247663716
7295.1308168906035,41,5,53694.59885359062
3602.7160009903273,70,16,20332.118156759836
4020.211622416691,53,4,15939.901927348636
2455.3116441437965,57,4,8634.581039354973
885.279114147222,41,5,24871.04962572063
1564.2013145380622,20,2,40509.56892469157
3346.6676534585827,39,20,10761.538404277264
1996.7284243704835,70,22,28238.58925311552
2503.192569293446,19,4,3607.8511117325725
8028.112020884601,41,20,57851.5211734894
2570.4141517838793,61,4,11606.064112243821
1961.9477611257064,47,9,21983.977533793968
3590.193631256004,55,9,4234.657155460571
9556.433926952837,19,18,31960.132520798325
19787.895776727783,77,16,59288.14068366166
10328.271870690862,38,20,29274.13116682817
926.3980975596103,50,13,15026.320669396839
5962.453082887149,29,8,53497.821881384785
1281.0060882566602,75,13,55850.06778533987
3290.328217313095,39,0,14641.482845606975
9679.625458104358,78,18,54647.225272246316
3883.608466710923,61,12,66468.95851317464
1163.8515190795465,42,12,14147.298324462246
9152.278071939862,66,3,54655.94759965308
4931.118718311949,44,0,50474.32430837617
6640.554952363853,76,16,34729.450525150925
1223.1820699218174,59,7,6880.670857439485
1086.385498531565,45,1,8004.525989776219
2889.5121180501806,77,7,60111.78216630939
6142.466174794457,33,6,69339.94097429335
5174.942418389764,32,1,48295.50123151255
2922.5961643044425,79,21,32879.20656969154
6529.559332221815,79,21,46387.43410792781
2583.915474719761,64,2,42824.52256831254
1772.4457816418824,79,17,28702.02144717666
2001.5885664908258,68,11,7396.951686458868
6704.401033333228,61,0,58041.36747629855
2243.949264327588,72,21,27912.846458994547
7384.747064065782,69,11,57858.638104925274
1791.447790957668,74,4,19918.086229121607
1016.6670679769946,20,24,3068.9751496574377
5598.300383702335,54,16,13648.864979542686
3514.480021303055,68,15,34392.14092349515
19255.290898889252,24,14,66268.34354217461
4772.6356428375575,38,22,9846.972519479172
3173.7943305197136,26,14,60232.05488892492
251.766701654682,56,4,38310.61444619476
3786.23929532075,35,20,58336.69130859307
323.2504762219112,21,13,22991.086876329504
6962.478127140595,42,1,59276.46003305561
5840.025391483311,77,10,54779.1262611259
1422.7558232264669,31,18,18413.59676310607
1602.9303084489477,67,6,11799.45346942833
8074.073260665524,75,5,61159.63960966362
5186.289778491101,26,1,67536.85578048884
4073.820076178136,43,5,5097.255021083588
6405.484341118837,70,17,51995.09448723694
6433.69530977119,19,1,63938.14223350383
10739.171172356682,37,17,60443.12617019741
7458.8171869170665,45,14,67622.87164210397
2848.7092457524063,64,18,53926.30325535251
929.8833805726575,77,1,32634.01707952099
9747.467644040118,24,19,23900.78336317374
7266.250976904045,61,24,24489.76360935454
5064.374726356207,78,5,51536.319065145835
4440.868520362159,25,0,52971.07980607461
5448.329894913993,64,23,16424.062617763746
4848.049989088481,52,14,61164.228503865575
12103.822363629342,31,22,50899.91069355059
4713.690240718606,34,9,40704.26918500664
8878.285205055607,53,18,34592.67482686835
12989.14685266248,67,16,39396.5979879272
945.9320890453228,57,4,13669.46446471072
3318.8691134983264,21,3,16647.98370151037
13162.745066243033,19,9,9108.020857214842
2467.1587732076014,79,23,13295.08855679455
5172.521622709935,23,16,33397.47351855394
3889.121911592631,71,9,38533.744379793156
3098.824067383091,59,16,4196.746796047398
33477.61951890753,21,19,56385.454466889845
6565.486428891685,71,23,22709.254214013017
5782.8797943614245,46,4,64093.01434231404
16094.319954834073,35,1,67823.2546621231
2411.9166168941447,43,5,15425.744603335841
4096.86413636875,61,20,33960.51848129927
3284.245739006121,51,1,3082.5329561505346
7956.971247854632,27,12,43087.92676320261
7196.132508887892,79,10,43689.532033598975
10170.395682427752,53,10,19585.177025426136
2170.054981394032,31,15,40413.64906307426
2560.837287183958,48,10,18111.189543730274
2895.974008566632,65,18,13775.306428238735
2632.146615140359,32,14,46651.80427575173
6999.247520127553,25,24,24837.006084789016
9983.191375669745,31,22,42547.68390533671
898.2998012456745,40,22,32027.532181100927
15933.616563935379,77,15,68951.54429599456
1507.4319609827214,74,10,13021.903058726906
4681.589735558399,79,21,34128.10597459928
12433.082983176204,57,15,48590.59396607479
1920.6596531286848,38,7,29501.5206199579
8759.174103737816,33,3,68304.89007533621
2001.0030501917038,62,7,51366.47107110465
5447.390456957583,35,3,47017.91845682103
7177.583021898615,64,23,53722.97092995196
15932.857406543377,70,24,66827.45874859404
6346.670481791853,41,2,63823.84974997089
1970.3414264505943,43,2,51527.115644469595
2599.5412772364502,42,17,53193.82981978597
800.4159745628466,77,18,12776.778960354746
2525.9082222289803,77,18,9887.091101008602
5520.2946441481145,77,20,41250.60162355901
1684.2088024771701,62,4,4230.63167501618
6321.265596154497,58,17,35317.87756395663
4557.663795230594,46,9,17093.421854564196
4176.051620987459,32,21,26183.11003220425
3970.361950989449,62,20,54978.91729812806
