,Sales
2015-01-01,6312.054951819981
2015-02-01,5968.439812635338
2015-03-01,5948.4162377274015
2015-04-01,5741.147726146718
2015-05-01,5931.36078816742
2015-06-01,5804.20458662209
2015-07-01,5425.5769049789105
2015-08-01,5141.789604848481
2015-09-01,3518.524123004345
2015-10-01,3992.036617116832
2015-11-01,4342.618644442369
2015-12-01,4903.299840014024
2016-01-01,5916.6085928347675
2016-02-01,5912.33838313686
2016-03-01,5756.054238894163
2016-04-01,6236.51695277912
2016-05-01,6153.263700495953
2016-06-01,6853.627197233848
2016-07-01,6821.790183937384
2016-08-01,5525.052665661676
2016-09-01,4574.774230791116
2016-10-01,4638.1168775612105
2016-11-01,4032.148816995037
2016-12-01,5092.264175335468
2017-01-01,6179.547783818195
2017-02-01,6617.158352820123
2017-03-01,6446.096794612283
2017-04-01,6365.350557784673
2017-05-01,6698.337178061752
2017-06-01,6641.887902595112
2017-07-01,6591.636104049801
2017-08-01,5778.893889641359
2017-09-01,4694.8433893487645
2017-10-01,4263.7790896879815
2017-11-01,4620.952675239982
2017-12-01,5945.42549415449
2018-01-01,6544.968005059876
2018-02-01,7430.526438578154
2018-03-01,6827.463491415146
2018-04-01,7268.99568561087
2018-05-01,6518.046353792429
2018-06-01,7039.039851497402
2018-07-01,6419.006621917245
2018-08-01,6040.1099438816955
2018-09-01,5511.769841840036
2018-10-01,4803.020628713304
2018-11-01,5254.500853043123
2018-12-01,6354.947750047253
2019-01-01,7586.453932977841
2019-02-01,7036.922343253178
2019-03-01,6889.42780178127
2019-04-01,6926.074448944437
2019-05-01,7220.133435181676
2019-06-01,7196.165588287671
2019-07-01,7287.630821932921
2019-08-01,6707.443083501162
2019-09-01,5286.212318572592
2019-10-01,5768.859241548186
2019-11-01,5283.829447740424
2019-12-01,6703.143372261538
2020-01-01,7415.809093634061
2020-02-01,8205.205559101689
2020-03-01,7363.069801209668
2020-04-01,7459.100903077722
2020-05-01,7740.388191560464
2020-06-01,8010.537522432176
2020-07-01,7470.651855552068
2020-08-01,7341.97969329779
2020-09-01,5622.41852103868
2020-10-01,5347.463088599323
2020-11-01,6040.11195274482
2020-12-01,6660.14645573714
2021-01-01,7245.123970565238
2021-02-01,8384.748648825034
2021-03-01,8124.462850611991
2021-04-01,7107.636312675722
2021-05-01,8193.797439700245
2021-06-01,8417.672191182646
2021-07-01,7525.966138690456
2021-08-01,7507.829373078809
2021-09-01,5843.72039011473
2021-10-01,5781.771392498264
2021-11-01,6295.214175783767
2021-12-01,7385.742621236463
2022-01-01,8137.746643323831
2022-02-01,8366.447205501063
2022-03-01,7939.46659155101
2022-04-01,8572.59712240937
2022-05-01,8455.921200060382
2022-06-01,8258.529612344782
2022-07-01,8029.425591798963
2022-08-01,7902.201474388286
2022-09-01,6836.516249649072
2022-10-01,6018.470029456868
2022-11-01,6586.627608059795
2022-12-01,7908.4879482456145
2023-01-01,7788.218468917183
2023-02-01,8399.934489407502
2023-03-01,8772.261683412053
2023-04-01,8103.075388628611
2023-05-01,9098.059362155258
2023-06-01,8445.287009761149
2023-07-01,8144.386432925531
2023-08-01,7441.101982352567
2023-09-01,7016.412579080636
2023-10-01,6526.683379036248
2023-11-01,6832.576014794369
2023-12-01,7993.143223339088
2024-01-01,8498.604546548077
2024-02-01,9096.064412443897
2024-03-01,9110.769727718593
2024-04-01,8937.682157612518
2024-05-01,8651.883965043084
2024-06-01,9410.71932716026
2024-07-01,8968.534356472153
2024-08-01,8449.908797252538
2024-09-01,7656.690500318667
2024-10-01,6893.528390020951
2024-11-01,7658.969411458686
2024-12-01,8107.313878696414
