Engineering_salary,Business_salary,Arts_salary
84881737.73339193,67065792.17323862,47175045.87719388
70159093.72125031,52324563.3256323,85346469.33655792
88814620.5650319,47243827.99252378,43037672.90289912
115486504.38001838,74167898.52396704,44490019.24144054
68169599.38150495,85892331.61131941,38957307.01958388
68169935.14025791,82946246.27161503,18629311.639522307
117449513.11968708,44635012.64325,39711434.57726148
92063185.45765956,53732626.64070113,41113511.11184276
63523022.8806468,67234527.79232009,107505452.37102452
86057246.69919986,84241318.17129488,37162505.45475663
63638549.64212389,50629465.94695412,45279919.58534429
63594424.08904371,56107196.22095855,39581427.793562286
78636298.23878641,40651164.40023311,25147877.66657493
41192683.16990545,39392380.236565314,63394293.32998145
43587454.63686398,79569333.32287338,54218269.868600056
61778688.718288414,96248051.71275792,55072885.55419314
53968221.62534889,58383959.059440255,27896179.364230365
80360191.32531047,85070577.48198415,70341534.71923281
55692055.04123607,67953070.67466275,22908414.66992184
47873092.84718848,47772626.4431152,50753854.13260647
113515495.48437814,67947352.87915426,96392362.50408852
68341133.37258427,102571233.61287291,27005220.278542805
74627060.47778913,59128060.41978812,31999671.245753627
47694699.26282777,103530887.75023527,41766946.24610954
62111422.154485226,23934811.19528897,32813973.93843233
75604930.39551279,79830896.00828546,21584583.836231865
51777031.717243165,61726367.82078466,41250775.431371145
81855387.76567355,53924889.78170454,26241004.262105368
61071976.67290342,61828287.90369318,48505718.26050365
67002946.502945416,29862263.73646816,27784408.75795207
61052413.76888777,55443227.00090617,74605817.22260955
127476008.25849056,67845571.89838175,29339754.465380102
72834923.13694248,100434687.10437268,35283665.19661946
53246466.32699051,49941391.3363178,55570451.26768092
93597923.14811102,45117579.50395981,24530052.40040131
50703331.88174836,50230868.88612133,43957738.98979484
77859334.87109812,82486567.52566089,67701059.02669634
40623376.78759303,67175433.60911866,21099543.96453774
49096556.81373394,49740955.58044169,43211137.06394134
77579490.2829812,71656819.13556273,44531546.08099196
91266581.86447996,61943449.45688885,54870390.602149375
76988434.19983865,84038116.82988474,24470405.2072738
70636728.03138104,46830099.0439316,23666536.20241865
66814065.00465152,53386770.38690895,49452931.937652566
46931454.575715855,52196052.39549889,45197356.03430954
58926532.64016387,35874060.628718324,
63691625.73007679,66412601.35972496,
100422008.2470548,65602517.14199073,
81071396.75804608,59981395.00238328,
43091797.87215188,55154548.88442365,
