Rating,Tier
3,Basic
2,Basic
2,Basic
3,Basic
4,Basic
3,Basic
5,Basic
3,Basic
3,Basic
3,Basic
3,Basic
4,Basic
3,Basic
1,Basic
3,Basic
4,Basic
2,Basic
2,Basic
3,Basic
3,Basic
3,Basic
4,Basic
4,Basic
3,Basic
4,Basic
3,Basic
3,Basic
2,Basic
2,Basic
3,Basic
1,Basic
3,Basic
3,Basic
3,Basic
3,Basic
3,Basic
3,Basic
4,Basic
5,Basic
3,Basic
3,Basic
2,Basic
3,Basic
3,Basic
4,Basic
2,Basic
3,Basic
5,Basic
3,Basic
3,Basic
2,Basic
4,Basic
3,Basic
3,Basic
3,Basic
3,Basic
3,Basic
3,Basic
4,Basic
3,Basic
3,Basic
3,Basic
3,Basic
3,Basic
4,Basic
1,Basic
4,Basic
2,Basic
2,Basic
3,Basic
1,Basic
4,Basic
3,Basic
4,Basic
1,Basic
3,Basic
3,Basic
2,Basic
2,Basic
3,Basic
3,Basic
3,Basic
3,Basic
3,Basic
5,Basic
4,Basic
3,Basic
1,Basic
3,Basic
3,Basic
4,Basic
5,Basic
3,Basic
4,Basic
3,Basic
3,Basic
2,Basic
3,Basic
2,Basic
3,Basic
4,Premium
4,Premium
2,Premium
2,Premium
3,Premium
4,Premium
4,Premium
4,Premium
5,Premium
3,Premium
3,Premium
3,Premium
3,Premium
4,Premium
3,Premium
4,Premium
4,Premium
4,Premium
1,Premium
5,Premium
5,Premium
3,Premium
3,Premium
4,Premium
5,Premium
5,Premium
3,Premium
4,Premium
4,Premium
3,Premium
4,Premium
3,Premium
4,Premium
5,Premium
5,Premium
2,Premium
3,Premium
3,Premium
4,Premium
4,Premium
2,Premium
3,Premium
5,Premium
4,Premium
4,Premium
4,Premium
4,Premium
1,Premium
4,Premium
4,Premium
3,Premium
4,Premium
3,Premium
3,Premium
4,Premium
2,Premium
4,Premium
5,Premium
4,Premium
3,Premium
3,Premium
4,Premium
4,Premium
2,Premium
4,Premium
4,Premium
3,Premium
5,Premium
4,Premium
4,Premium
4,Premium
2,Premium
5,Premium
4,Premium
5,Premium
2,Premium
2,Premium
2,Premium
3,Premium
3,Premium
4,Enterprise
3,Enterprise
3,Enterprise
5,Enterprise
4,Enterprise
5,Enterprise
2,Enterprise
4,Enterprise
5,Enterprise
4,Enterprise
3,Enterprise
5,Enterprise
4,Enterprise
5,Enterprise
2,Enterprise
4,Enterprise
2,Enterprise
5,Enterprise
4,Enterprise
3,Enterprise
4,Enterprise
3,Enterprise
5,Enterprise
5,Enterprise
5,Enterprise
4,Enterprise
3,Enterprise
5,Enterprise
5,Enterprise
2,Enterprise
5,Enterprise
4,Enterprise
4,Enterprise
5,Enterprise
4,Enterprise
4,Enterprise
3,Enterprise
4,Enterprise
5,Enterprise
3,Enterprise
4,Enterprise
5,Enterprise
3,Enterprise
5,Enterprise
5,Enterprise
3,Enterprise
4,Enterprise
4,Enterprise
4,Enterprise
2,Enterprise
