Date,Ridership
2021-01-01,76633
2021-01-02,83835
2021-01-03,85346
2021-01-04,80846
2021-01-05,75676
2021-01-06,62970
2021-01-07,52936
2021-01-08,75440
2021-01-09,82626
2021-01-10,73380
2021-01-11,76193
2021-01-12,81514
2021-01-13,55362
2021-01-14,51236
2021-01-15,75381
2021-01-16,82564
2021-01-17,80886
2021-01-18,86476
2021-01-19,80394
2021-01-20,53883
2021-01-21,54959
2021-01-22,77848
2021-01-23,81143
2021-01-24,69515
2021-01-25,84113
2021-01-26,74810
2021-01-27,48756
2021-01-28,54857
2021-01-29,79165
2021-01-30,76726
2021-01-31,74972
2021-02-01,77417
2021-02-02,84047
2021-02-03,50582
2021-02-04,58499
2021-02-05,81848
2021-02-06,82783
2021-02-07,77385
2021-02-08,77709
2021-02-09,80587
2021-02-10,50825
2021-02-11,57152
2021-02-12,77281
2021-02-13,82187
2021-02-14,74207
2021-02-15,83424
2021-02-16,81478
2021-02-17,52568
2021-02-18,53247
2021-02-19,80007
2021-02-20,80463
2021-02-21,82624
2021-02-22,79588
2021-02-23,85018
2021-02-24,52298
2021-02-25,62888
2021-02-26,77689
2021-02-27,73829
2021-02-28,83340
2021-03-01,83267
2021-03-02,82997
2021-03-03,58924
2021-03-04,51433
2021-03-05,77640
2021-03-06,81106
2021-03-07,80591
2021-03-08,79182
2021-03-09,83965
2021-03-10,54339
2021-03-11,52637
2021-03-12,77833
2021-03-13,78636
2021-03-14,83351
2021-03-15,76113
2021-03-16,87039
2021-03-17,54139
2021-03-18,54164
2021-03-19,90868
2021-03-20,76063
2021-03-21,78818
2021-03-22,79632
2021-03-23,79601
2021-03-24,48329
2021-03-25,55005
2021-03-26,74892
2021-03-27,72796
2021-03-28,70982
2021-03-29,84518
2021-03-30,80777
2021-03-31,54122
2021-04-01,54318
2021-04-02,79405
2021-04-03,79864
2021-04-04,83578
2021-04-05,79764
2021-04-06,79528
2021-04-07,53135
2021-04-08,58649
2021-04-09,75102
2021-04-10,83269
2021-04-11,83188
2021-04-12,81845
2021-04-13,74514
2021-04-14,56600
2021-04-15,53952
2021-04-16,79005
2021-04-17,73617
2021-04-18,77744
2021-04-19,79068
2021-04-20,79994
2021-04-21,53532
2021-04-22,54534
2021-04-23,78506
2021-04-24,77875
2021-04-25,80244
2021-04-26,81719
2021-04-27,77345
2021-04-28,48008
2021-04-29,51397
2021-04-30,80977
2021-05-01,82987
2021-05-02,73157
2021-05-03,82139
2021-05-04,79474
2021-05-05,53120
2021-05-06,52054
2021-05-07,81868
2021-05-08,75106
2021-05-09,79207
2021-05-10,77965
2021-05-11,80784
2021-05-12,53376
2021-05-13,50426
2021-05-14,82254
2021-05-15,82653
2021-05-16,78619
2021-05-17,77581
2021-05-18,78192
2021-05-19,56263
2021-05-20,59680
2021-05-21,78238
2021-05-22,77925
2021-05-23,77456
2021-05-24,76371
2021-05-25,77625
2021-05-26,53526
2021-05-27,45965
2021-05-28,84164
2021-05-29,74223
2021-05-30,79275
2021-05-31,77124
2021-06-01,73072
